game_id,developer
fee32b667774ed134b8b30a6efdf1a19,Grasshopper Manufacture
ed4bfb03c69327fc66b0a203785a8106,Rockstar North
ed4bfb03c69327fc66b0a203785a8106,Rockstar Games
4d206541f46dc2790a3a32d0df37a305,Nintendo R&D1
4d206541f46dc2790a3a32d0df37a305,Nintendo
885e64832ef41dcbfc69426e41a3d08c,Square Electronic Arts
885e64832ef41dcbfc69426e41a3d08c,Square
5e65ba3170f06006315f1fa8788e0e93,NIS America
5e65ba3170f06006315f1fa8788e0e93,Spike ChunSoft
49f9bf677fab245b51030fdd289058dc,Square
49f9bf677fab245b51030fdd289058dc,Square Electronic Arts
343f157e12a59f57d4dbfc69090b5a12,Bungie
343f157e12a59f57d4dbfc69090b5a12,Microsoft Game Studios
d15f46e91e86dc15ccebf2fbfd18928d,Nintendo
d15f46e91e86dc15ccebf2fbfd18928d,Nintendo R&D1
8ceca509acdc89142631b6d8b3582b7d,Square Enix
8ceca509acdc89142631b6d8b3582b7d,Square
191a77204e73c4f0ddd9f7846a9918ee,Ysbryd Games
191a77204e73c4f0ddd9f7846a9918ee,SUKEBAN
10eeaaec8c6f34199c05a6f89b2fac50,Motion Twin
fee861496008fe2c87a7aa76af7c2969,Ubisoft Entertainment
fee861496008fe2c87a7aa76af7c2969,Ubisoft Montreal
b915c7c331758711eee9bf710ac925b4,Crows Crows Crows
b297ac399c983de04f6290ab34d0079f,IMGN.PRO
b297ac399c983de04f6290ab34d0079f,SUPERHOT Team
fd5f175d72207c35c0186a0ebd05c0e7,PopCap Games
fb72334fddfda07093676e3a9c3f8382,Moon Studios
fb72334fddfda07093676e3a9c3f8382,Microsoft Studios
21ba287b733874450a904744f986b0df,Bluepoint Games
21ba287b733874450a904744f986b0df,Sony Interactive Entertainment
99ccc88e724a7762f3a5cb2caf35886c,Focus Entertainment
99ccc88e724a7762f3a5cb2caf35886c,Asobo Studio
9a201aa6b889c31e5c3aaaf2287f037f,Nintendo
9a201aa6b889c31e5c3aaaf2287f037f,Grezzo
